Project_Description,Budget,Website,GitHub Url,Twitter Url
WWCode is a non-profit organization that inspires women to excel in technology careers.,"$1,103",https://www.womenwhocode.com/twin-cities,,https://twitter.com/wwcodetc
,"$11,495",https://github.com/bower/bower,,https://twitter.com/bower
,"$6,718",https://www.gatsbyjs.org/,,https://twitter.com/Gatsbyjs
Be Coworking | the Association of Coworking Spaces in Belgium,€0,http://www.becoworking.be/,,https://twitter.com/becoworkingbe
WWCode is a non-profit organization that inspires women to excel in technology careers.,"$8,038",http://www.meetup.com/WomenWhoCodeNYC/,,https://twitter.com/wwcodenyc
Hacknights for everyone!,"$7,902",http://civictech.ca/,,https://twitter.com/civictechto
,"$8,470",http://github.com/reactiveui/ReactiveUI,,https://twitter.com/reactivexui
client-side internet transfers,"$8,173",https://curl.haxx.se/,,
WWCode is a global non-profit organization that inspires women to excel in technology careers.,"$3,825",https://twitter.com/wwcbirmingham,,https://twitter.com/wwcbirmingham
The WordPress Sydney Meetup is for any WordPress user from new to experienced to get together and discuss all things WordPress.,A$0,https://twitter.com/wpsyd,,https://twitter.com/wpsyd
"Asciidoctor is a comprehensive, user-friendly publishing toolchain for converting AsciiDoc content to HTML5, DocBook, PDF, and other formats.","$7,652",http://asciidoctor.org/,,https://twitter.com/asciidoctor
A plugin for integration of SAP Hybris platform with JetBrains Intellij IDEA,"$7,710",https://github.com/AlexanderBartash/hybris-integration-intellij-idea-plugin,,https://twitter.com/ideaHybris
WordPress development and production servers done right,"$6,584",https://roots.io/,,https://twitter.com/rootswp
social.coop: a coop-run corner of the fediverse with a co-operative and transparent approach to operating a social platform,"$5,242",https://social.coop/,,
Boostnote is an open source note-taking app for programmers.,"$6,113",http://github.com/BoostIO/Boostnote,,https://twitter.com/Boostnoteapp
Young leaders dedicated to improving our community!,"$4,144",http://www.sfshapers.com/,,https://twitter.com/sfglobalshapers
"When everyone talks about change, you make it happen! 14 workshops to reinvent your city in English / French / Dutch. September 22 - 23","€6,138",https://fearlesscities.webrussels.org/,,https://twitter.com/fearlessbxl
"This group is geared towards WordPress enthusiasts in the areas of: development, design, blogging and content management.","$2,115",https://www.meetup.com/wordpress-sf/,,https://twitter.com/wpsfo
The Scientific Python Development Environment,"$6,693",https://www.spyder-ide.org/,,https://twitter.com/Spyder_IDE
,"$3,131",https://github.com/redux-saga/redux-saga,,
Dark theme for every website,"$6,626",https://github.com/darkreader/darkreader,,https://twitter.com/darkreaderapp
