Project Name,No of Backers,Project Link
Thinking Liverpool,€702,https://opencollective.com/thinking-liverpool
Gathering Hall Studios,1,https://opencollective.com/gathering-hall-studios
sharpneat,$0,https://opencollective.com/sharpneat
cljdoc,11,https://opencollective.com/cljdoc
ff4j,$314,https://opencollective.com/ff4j
sizzy,6,https://opencollective.com/sizzy
Ts.ED,$306,https://opencollective.com/tsed
MyBB,1,https://opencollective.com/mybb
Reakit,$0,https://opencollective.com/reakit
koel,1,https://opencollective.com/koel
jqplay,$260,https://opencollective.com/jqplay
ngx-infinite-scroll,27,https://opencollective.com/ngx-infinite-scroll
Property Web Builder,$338,https://opencollective.com/property_web_builder
AdNauseam,1,https://opencollective.com/adnauseam
CommonsWealth Network,CA$176,https://opencollective.com/commonswealth-network
redom,17,https://opencollective.com/redom
EasyClangComplete,€888,https://opencollective.com/easyclangcomplete
distributed,3,https://opencollective.com/distributed
fabio,$255,https://opencollective.com/fabio
vue-admin,10,https://opencollective.com/vue-admin
Front-End-Checklist,$982,https://opencollective.com/front-end-checklist
Humanitarian AI,9,https://opencollective.com/humanitarian-ai
laravel-admin,$205,https://opencollective.com/laravel-admin
Fider,8,https://opencollective.com/fider
dep,$307,https://opencollective.com/dep
magit,14,https://opencollective.com/magit
Cypress.io,$513,https://opencollective.com/cypressio
cerebro,15,https://opencollective.com/cerebro
React Native Debugger,$225,https://opencollective.com/react-native-debugger
grapher,6,https://opencollective.com/grapher
QtSharp,$293,https://opencollective.com/qtsharp
react-ace,15,https://opencollective.com/react-ace
react-redux-firebase,$590,https://opencollective.com/react-redux-firebase
webhook,1,https://opencollective.com/webhook
Hoverboard,$181,https://opencollective.com/hoverboard
Operation Code PDX,6,https://opencollective.com/operationcodepdx
Material Theme for VS Code,$315,https://opencollective.com/vsc-material-theme
listes citoyennes,12,https://opencollective.com/listescitoyennes
Refugees Got Talent,$217,https://opencollective.com/refugeesgottalent
fast-xml-parser,6,https://opencollective.com/fast-xml-parser
NServiceBusExtensions,$17,https://opencollective.com/nservicebusextensions
ResXResourceManager,1,https://opencollective.com/resxresourcemanager
togglz,A$151,https://opencollective.com/togglz
Society of Lady Makers,2,https://opencollective.com/societyofladymakers
ssh,$252,https://opencollective.com/ssh
Catel,5,https://opencollective.com/catel
reactabular,£226,https://opencollective.com/reactabular
Drupal - Real Time SEO module,1,https://opencollective.com/realtimeseo
Open Source Diversity,€0,https://opencollective.com/opensourcediversity
BioJulia,3,https://opencollective.com/biojulia
Reinventing Brussels,$87,https://opencollective.com/reinventingbrussels
Trove of Knowledge,4,https://opencollective.com/offibooks
pixelfed,$49,https://opencollective.com/pixelfed-528
bootstrap-table,8,https://opencollective.com/bootstrap-table
Akaunting,$224,https://opencollective.com/akaunting
openapi-directory,26,https://opencollective.com/openapi-directory
Audit.NET,$125,https://opencollective.com/auditnet
JSUI,9,https://opencollective.com/jsui
anchor-cms,$206,https://opencollective.com/anchor-cms
Ixelles pour Tous,2,https://opencollective.com/ixelles-pour-tous
Free Code Camp Perth,$41,https://opencollective.com/free-code-camp-perth
LessPass,1,https://opencollective.com/lesspass
CleanWalker,$0,https://opencollective.com/benjamin-carboni
openlayers,5,https://opencollective.com/openlayers
Android-Password-Store,$225,https://opencollective.com/android-password-store
Vogelmorn Community Precinct,1,https://opencollective.com/vogelmorn-community-precinct
jscpd,$215,https://opencollective.com/jscpd
Edge Collective,3,https://opencollective.com/edgecollective
android-arsenal.com,$610,https://opencollective.com/android-arsenal
AnimatedPieView,1,https://opencollective.com/animatedpieview
ReactNYC,$255,https://opencollective.com/reactnyc
MadJS,2,https://opencollective.com/madisonjavascript
Excalibur,$109,https://opencollective.com/excalibur
Operation Code Columbus,10,https://opencollective.com/opcodecolumbus
Strider,$212,https://opencollective.com/strider
twitter-bootstrap-rails,10,https://opencollective.com/twitter-bootstrap-rails
Commitizen,$353,https://opencollective.com/commitizen
react-native-iap,3,https://opencollective.com/react-native-iap
Brussels International Citizens Alliance,$275,https://opencollective.com/bica
INFUSIÓN,7,https://opencollective.com/infusionvlc
ModularAdmin,$381,https://opencollective.com/modular-admin
Perma@transforma,10,https://opencollective.com/perma%40transforma
lab.davan.ac,€433,https://opencollective.com/labdavanac
OpenUpstate,6,https://opencollective.com/openupstate
Task,$253,https://opencollective.com/task
MetaMask,4,https://opencollective.com/metamask
algorithm-visualizer,$78,https://opencollective.com/algorithm-visualizer
Popmotion,5,https://opencollective.com/popmotion
simple-schema-js,$96,https://opencollective.com/simple-schema-js
Plastic Free Plux,1,https://opencollective.com/plasticfreeplux
graphql-compose,9,https://opencollective.com/graphql-compose
cezerin,$314,https://opencollective.com/cezerin
dolibarr,2,https://opencollective.com/dolibarr
NetSquared Chicago,$222,https://opencollective.com/netsquared-chicago
vuetify,5,https://opencollective.com/vuetify
Mastodon.brussels,$373,https://opencollective.com/mastodonbrussels
IceCream,8,https://opencollective.com/icecream
"Open Collective, Inc.",$129,https://opencollective.com/opencollective-company
radiant-player,4,https://opencollective.com/radiant-player
git-bug,$127,https://opencollective.com/git-bug
TShock,1,https://opencollective.com/tshock
HIVE Blockchain Society,€177,https://opencollective.com/hive_bs
Midnight Lizard,2,https://opencollective.com/midnight-lizard
searx,$185,https://opencollective.com/searx
ChangeX,4,https://opencollective.com/changex-collective
fontplop,€176,https://opencollective.com/fontplop
Kaku,1,https://opencollective.com/kaku
Framework7,$175,https://opencollective.com/framework7
accounts-js,2,https://opencollective.com/accounts-js
nitrite-database,$174,https://opencollective.com/nitrite-database
activitywatch,5,https://opencollective.com/activitywatch
AzuraCast,$169,https://opencollective.com/azuracast
Docz,3,https://opencollective.com/docz
AsciidocFX,$674,https://opencollective.com/asciidocfx
x-ray,5,https://opencollective.com/x-ray
Volt Europa,$110,https://opencollective.com/volteuropa
UI-Grid,1,https://opencollective.com/ui-grid
libre.sh,$250,https://opencollective.com/libresh
bundlephobia,11,https://opencollective.com/bundlephobia
{json:mvc},$170,https://opencollective.com/jsonmvc
JBot,7,https://opencollective.com/jbot
Обход блокировок Рунета,$92,https://opencollective.com/anticensority
graphql-php,1,https://opencollective.com/graphql-php
Sous-Chefs,€115,https://opencollective.com/sous-chefs
Hackers & Founders Quito,5,https://opencollective.com/hfquito
Sming,$163,https://opencollective.com/sming
pre-commit,9,https://opencollective.com/pre-commit
t-scroll,€162,https://opencollective.com/t-scroll
APlayer,8,https://opencollective.com/aplayer
colmena,$462,https://opencollective.com/colmena
Cobaye Community,3,https://opencollective.com/cobaye-community
react-slick,$149,https://opencollective.com/react-slick
tipbox,16,https://opencollective.com/tipbox
Iris,$346,https://opencollective.com/iris
InvoicePlane,2,https://opencollective.com/invoiceplane
Consciousness Hacking Palo Alto,$9,https://opencollective.com/chsv
docToolchain,9,https://opencollective.com/doctoolchain
Hexworks,$156,https://opencollective.com/hexworks
js-lingui,6,https://opencollective.com/js-lingui
arduino-nRF5,$169,https://opencollective.com/arduino-nrf5
sexy-bash-prompt,9,https://opencollective.com/sexy-bash-prompt
purgecss,$190,https://opencollective.com/purgecss
Strawberry Streets,3,https://opencollective.com/strawberrystreets
AVA,$162,https://opencollective.com/ava
Bootstrap,2,https://opencollective.com/bootstrap
EFQRCode,$0,https://opencollective.com/efqrcode
Falcon,7,https://opencollective.com/falcon
vanilla-rtb,$223,https://opencollective.com/vanilla-rtb
Pact Foundation,1,https://opencollective.com/pact-foundation
koin,$100,https://opencollective.com/koin
VCR,1,https://opencollective.com/vcr
Français à Londres,$135,https://opencollective.com/francais-a-londres1
RuiJi.Net,1,https://opencollective.com/ruijinet
Gridt,$135,https://opencollective.com/gridt
Remix,1,https://opencollective.com/remix
Groupe local du Brabant Wallon - En Marche.be,$135,https://opencollective.com/enmarchebrabantwallon
The Psychedelic Society,1,https://opencollective.com/psychedelicsuk
The Impact Fellowship,$135,https://opencollective.com/theimpactfellowship
Sarapis Collective,12,https://opencollective.com/sarapis
Reinventing Startups,$176,https://opencollective.com/reinventingstartups
JS.coach,4,https://opencollective.com/js-coach
mockk,$59,https://opencollective.com/mockk
Balanced,1,https://opencollective.com/balanced
Barba.js,€65,https://opencollective.com/barbajs
Sync,2,https://opencollective.com/sync
LCUI,$79,https://opencollective.com/lcui
cq-prolyfill,4,https://opencollective.com/cq-prolyfill
styled-icons,€95,https://opencollective.com/styled-icons
CsvHelper,8,https://opencollective.com/csvhelper
NSwag,€120,https://opencollective.com/nswag
cloudcmd,5,https://opencollective.com/cloudcmd
Ny Loharano Foundation,$150,https://opencollective.com/ny-loharano-foundation
1CE - 1Click Extensions,3,https://opencollective.com/1ce
Thrive Community Garden,$119,https://opencollective.com/thrive-community-garden
DPlayer,6,https://opencollective.com/dplayer
Zenject,$342,https://opencollective.com/zenject
cheton,4,https://opencollective.com/cheton
Officience,$416,https://opencollective.com/officience
Learning Lab,4,https://opencollective.com/learning-lab
typography.js,$95,https://opencollective.com/typographyjs
docker.io,12,https://opencollective.com/dockerio
