Project Name,No of Backers,Project Link
La Jacqueline Mobile Sound,3,https://opencollective.com/lajacqueline
WWCode London,1,https://opencollective.com/wwcodelondon
MvvmCross,20,https://opencollective.com/mvvmcross
Democracy Earth Foundation,3,https://opencollective.com/democracyearth
duplicati,30,https://opencollective.com/duplicati
Women Who Code Raleigh Durham,29,https://opencollective.com/wwcoderaleigh
BeFrank,43,https://opencollective.com/befrank
WWCode San Francisco,1,https://opencollective.com/wwcodesf
Operation Code,4,https://opencollective.com/operationcode-collective
ImageSharp,6,https://opencollective.com/imagesharp
WWCode Boston,19,https://opencollective.com/wwcodeboston
WWCode Boulder/Denver,15,https://opencollective.com/wwcodebd
element,7,https://opencollective.com/element
Flarum,6,https://opencollective.com/flarum
styled-components,11,https://opencollective.com/styled-components
Sydney Drupal Users Group,6,https://opencollective.com/sydney-drupal-users-group
Redux DevTools,48,https://opencollective.com/redux-devtools-extension
React Native Elements,1,https://opencollective.com/react-native-elements
UBIE,28,https://opencollective.com/ubie
Code for Miami,20,https://opencollective.com/codeformiami
Streetmix,39,https://opencollective.com/streetmix
Impact.tech,21,https://opencollective.com/impacttech
Euros For Docs,81,https://opencollective.com/eurosfordocs
The London Django Meetup Group,37,https://opencollective.com/the-london-django-meetup-group
Tachyons,$351,https://opencollective.com/tachyons
lumo,6,https://opencollective.com/lumo
Tabula,4,https://opencollective.com/tabulapdf
Les Barbares,34,https://opencollective.com/lesbarbares
nodemon,53,https://opencollective.com/nodemon
libpostal,49,https://opencollective.com/libpostal
HOTS-NYC,13,https://opencollective.com/hots-nyc
Split,€0,https://opencollective.com/split
UniRx,70,https://opencollective.com/unirx
LibreNMS,6,https://opencollective.com/librenms
HuNeeds,21,https://opencollective.com/huneeds
WWCode Recife,5,https://opencollective.com/wwcoderecife
TurfJS,41,https://opencollective.com/turf
Kings Lynn & West Norfolk Pride,30,https://opencollective.com/klwnpride
pug,26,https://opencollective.com/pug
sinon,1,https://opencollective.com/sinon
Agreelist,17,https://opencollective.com/agreelist
Companion,11,https://opencollective.com/companion
Drupal Asheville,24,https://opencollective.com/drupalasheville
Women Who Code Huntsville,31,https://opencollective.com/wwcodehuntsville
Babel Starter Kit,5,https://opencollective.com/babel-starter-kit
skatejs,57,https://opencollective.com/skatejs
The New Citizen Europe,2,https://opencollective.com/thenewcitizen-europe
TechWo,6,https://opencollective.com/techwo
Open Collective Foundation,11,https://opencollective.com/foundation-collective
Bincrafters Community,$919,https://opencollective.com/bincrafters
FreeRideToVote,3,https://opencollective.com/freeridetovote
Code for Denver,5,https://opencollective.com/codefordenver
React Native Firebase,9,https://opencollective.com/react-native-firebase
Micro Mobility Center,10,https://opencollective.com/micro-mobility-center
GrapesJS,25,https://opencollective.com/grapesjs
Laravel Tenancy,$0,https://opencollective.com/tenancy
YOURLS,1,https://opencollective.com/yourls
lem,32,https://opencollective.com/lem
Internet Freedom Festival Swag,2,https://opencollective.com/internetffswag
Green me Baby,20,https://opencollective.com/green-me-baby
Internet Freedom Festival,11,https://opencollective.com/internetfreedomfestival
Octobox,9,https://opencollective.com/octobox
Secure Scuttlebutt Consortium Collective,9,https://opencollective.com/secure-scuttlebutt-consortium
WWCode Bristol,54,https://opencollective.com/wwcodebristol
WWCode DFW,5,https://opencollective.com/wwcodedallas
The Swing Dance Cooperative,13,https://opencollective.com/swing
satellizer,$175,https://opencollective.com/satellizer
24pullrequests,40,https://opencollective.com/24pullrequests
celery,45,https://opencollective.com/celery
noble,1,https://opencollective.com/noble
Radarr,10,https://opencollective.com/radarr
Silhouette,5,https://opencollective.com/silhouette
Django Girls Helsinki,1,https://opencollective.com/djangohelsinki
WWCode Bangalore,$260,https://opencollective.com/wwcodebangalore
flow-for-vscode,2,https://opencollective.com/flow-for-vscode
riot,15,https://opencollective.com/riot
Women Who Code Sofia,5,https://opencollective.com/wwcodesofia
Strapi,$334,https://opencollective.com/strapi
Open Source Design,90,https://opencollective.com/opensourcedesign
coconut,3,https://opencollective.com/coconut
cheerio,$189,https://opencollective.com/cheerio
hospitalrun,1,https://opencollective.com/hospitalrun
Playworks,€0,https://opencollective.com/playworkskerryproject
Yeoman,1,https://opencollective.com/yeoman
PDXNode,2,https://opencollective.com/pdxnode
WWCode Santiago,14,https://opencollective.com/wwcodesantiago
Colly,1,https://opencollective.com/colly
gitea,€899,https://opencollective.com/gitea
Open Farm,14,https://opencollective.com/openfarm
React Starter Kit for Firebase,18,https://opencollective.com/react-firebase-starter
Serverless San Francisco,$768,https://opencollective.com/serverless-sf
WWCode Medellín,6,https://opencollective.com/wwcodemedellin
WWCode Tokyo,19,https://opencollective.com/wwcodetokyo
#NoMuslimBan,1,https://opencollective.com/nomuslimban
WWCode Greenville,39,https://opencollective.com/wwcodegreenville
angular-fullstack,1,https://opencollective.com/angular-fullstack
Tech for Good New Zealand,1,https://opencollective.com/techforgoodnz
offline-plugin,4,https://opencollective.com/offline-plugin
react-virtualized,40,https://opencollective.com/react-virtualized
Fody,11,https://opencollective.com/fody
Women Who Code Singapore,$661,https://opencollective.com/wwcodesingapore
WWCode Delhi,1,https://opencollective.com/wwcodedelhi
NOVA Web Development,$0,https://opencollective.com/nova-web-development
BootstrapCDN,1,https://opencollective.com/getbootstrapcdn
Better Media,1,https://opencollective.com/bettermediauk
Open Chemistry,42,https://opencollective.com/open-chemistry
Vulcan,$0,https://opencollective.com/vulcan
Charlotte Devs,11,https://opencollective.com/charlottedevs
WWCode Dublin,24,https://opencollective.com/wwcodedublin
GoSublime,$448,https://opencollective.com/gosublime
React Toolbox!,6,https://opencollective.com/react-toolbox
The Verdigris Ensemble,8,https://opencollective.com/verdigrismusic
AVL Futures,21,https://opencollective.com/avlfutures
Drupal Utah,17,https://opencollective.com/drupalutah
shields.io,5,https://opencollective.com/shields
Food for Thought,1,https://opencollective.com/foodforthought
WWCode Accra,2,https://opencollective.com/wwcodeaccra
CaptainFact,3,https://opencollective.com/captainfact_io
Nim,25,https://opencollective.com/nim
CodeBuddies,1,https://opencollective.com/codebuddies
LaPrimaire.org,21,https://opencollective.com/laprimaire
Nodemailer,5,https://opencollective.com/nodemailer
WWCode Vinnytsia,1,https://opencollective.com/wwcodevinnytsia
GENIE,7,https://opencollective.com/gorge-genie
SFTech4Good,20,https://opencollective.com/sftech4good
DjangoGirls Marseille,$432,https://opencollective.com/djangogirlsmrs
document-register-element,5,https://opencollective.com/document-register-element
Blaze,$595,https://opencollective.com/blaze
MahApps.Metro,1,https://opencollective.com/mahappsmetro
WWCode Sydney,11,https://opencollective.com/wwcodesydney
Allure Report,30,https://opencollective.com/allure-report
KoaJS,1,https://opencollective.com/koajs
Tech4Good Southwest Florida,$0,https://opencollective.com/t4swfl
St. Louis Drupal Users Group (STLDUG),1,https://opencollective.com/drupalstl
WWCode Brisbane,35,https://opencollective.com/wwcodebrisbane
WWCode Los Angeles,22,https://opencollective.com/wwcodelosangeles
OpenMined,11,https://opencollective.com/openmined
marshmallow,20,https://opencollective.com/marshmallow
SCION,€135,https://opencollective.com/scion
AZ social business,3,https://opencollective.com/azsocialbusiness
Phenomic,1,https://opencollective.com/phenomic
TealWiki,9,https://opencollective.com/tealwiki
Oni,$396,https://opencollective.com/oni
,1,https://opencollective.com/burgerlijst
Women Who Code Cincinnati,3,https://opencollective.com/wwcodecincinnati
